predictor,uniprot_acc,gene_symbol,set,n_variants,pathogenic_fraction,auroc,separation,frac_ambiguous
alphamissense,O60313,OPA1,mito,21,0.3333333333333333,0.9285714285714286,1.7340564216684191,0.047619047619047616
alphamissense,O60890,OPHN1,control,29,0.3448275862068966,0.9000000000000001,1.8900896963799125,0.0
alphamissense,O75027,ABCB7,mito,31,0.2903225806451613,0.994949494949495,3.604058190861599,0.06451612903225806
alphamissense,O75360,PROP1,control,47,0.8723404255319149,0.959349593495935,1.2950926456631329,0.02127659574468085
alphamissense,O75398,DEAF1,control,64,0.75,0.9908854166666666,5.006941745292073,0.0
alphamissense,O75419,CDC45,control,12,0.4166666666666667,0.8571428571428571,0.6161212681021945,0.0
alphamissense,O75439,PMPCB,mito,14,0.2857142857142857,1.0,4.2187203101198305,0.21428571428571427
alphamissense,O75530,EED,control,16,0.8125,1.0,12.415606067074796,0.0
alphamissense,O75534,CSDE1,control,11,0.2727272727272727,0.9166666666666666,2.0593467990413123,0.09090909090909091
alphamissense,O75648,TRMU,mito,36,0.6111111111111112,0.9415584415584415,1.9462378739102102,0.1111111111111111
alphamissense,O75695,RP2,mito,45,0.4222222222222222,0.9736842105263158,3.2240280724387778,0.044444444444444446
alphamissense,O75879,GATB,mito,20,0.1,1.0,2.883658644918809,0.1
alphamissense,O75907,DGAT1,control,12,0.5,1.0,43.95350857537953,0.0
alphamissense,O75916,RGS9,control,12,0.08333333333333333,1.0,5.190648590696669,0.0
alphamissense,O94761,RECQL4,mito,67,0.1044776119402985,0.786904761904762,1.2487342278254077,0.029850746268656716
alphamissense,O94925,GLS,mito,15,0.5333333333333333,0.9464285714285714,3.316349395281007,0.0
alphamissense,O95140,MFN2,mito,127,0.9606299212598425,0.9885245901639345,4.220751002854686,0.03937007874015748
alphamissense,O95202,LETM1,mito,26,0.19230769230769232,0.9904761904761904,3.798364381001283,0.0
alphamissense,O95299,NDUFA10,mito,13,0.46153846153846156,0.9047619047619047,1.8934180745781506,0.07692307692307693
alphamissense,O95352,ATG7,control,12,0.3333333333333333,0.90625,2.0491062268731146,0.08333333333333333
alphamissense,O95363,FARS2,mito,37,0.7027027027027027,0.9825174825174825,2.2246640641768956,0.10810810810810811
alphamissense,O95571,ETHE1,mito,23,0.8695652173913043,0.9,2.0286344800722538,0.0
alphamissense,O95630,STAMBP,control,10,0.7,1.0,6.353709617649905,0.1
alphamissense,O95822,MLYCD,mito,17,0.23529411764705882,0.9038461538461537,1.699243411103744,0.058823529411764705
alphamissense,O95831,AIFM1,mito,66,0.6515151515151515,0.8564206268958543,1.4353214391189113,0.13636363636363635
alphamissense,O95970,LGI1,control,19,0.8421052631578947,0.9166666666666667,1.9944077957195128,0.0
alphamissense,O95996,APC2,mito,40,0.05,0.986842105263158,4.952094258024953,0.025
alphamissense,P00367,GLUD1,mito,23,0.6086956521739131,0.8253968253968254,1.4316193469938068,0.0
alphamissense,P00387,CYB5R3,mito,22,0.8181818181818182,1.0,3.739898401072052,0.09090909090909091
alphamissense,P00390,GSR,mito,11,0.18181818181818182,1.0,3.421323064121206,0.18181818181818182
alphamissense,P00480,OTC,mito,276,0.9637681159420289,0.9349624060150377,2.368232441174975,0.07971014492753623
alphamissense,P00505,GOT2,mito,12,0.25,1.0,6.287304960433395,0.0
alphamissense,P00748,F12,control,18,0.2777777777777778,0.9692307692307693,1.8305686203506066,0.0
alphamissense,P00813,ADA,control,56,0.8571428571428571,0.9036458333333334,2.049231107357261,0.05357142857142857
alphamissense,P01116,KRAS,control,70,0.9857142857142858,0.9420289855072463,2.935673457627697,0.02857142857142857
alphamissense,P01127,PDGFB,control,18,0.4444444444444444,0.8624999999999999,1.8280080182980245,0.16666666666666666
alphamissense,P01213,PDYN,control,10,0.2,1.0,10.35734990018365,0.0
alphamissense,P02533,KRT14,control,57,0.8070175438596491,0.9960474308300394,5.042424315214651,0.05263157894736842
alphamissense,P02647,APOA1,control,19,0.8421052631578947,0.9791666666666667,4.129602551662057,0.10526315789473684
alphamissense,P02671,FGA,control,20,0.6,0.9895833333333334,3.0389289029612256,0.15
alphamissense,P02675,FGB,control,14,0.5714285714285714,1.0,2.9133725112846043,0.0
alphamissense,P02768,ALB,control,14,0.5,0.7346938775510204,1.1396114395447656,0.07142857142857142
alphamissense,P04180,LCAT,control,30,0.6666666666666666,0.985,2.633995113951343,0.1
alphamissense,P04181,OAT,mito,45,0.8888888888888888,0.985,4.603737623088744,0.044444444444444446
alphamissense,P04350,TUBB4A,control,49,0.9183673469387755,0.8500000000000001,1.7158848319079094,0.061224489795918366
alphamissense,P04792,HSPB1,control,24,0.875,1.0,3.0685521430365297,0.041666666666666664
alphamissense,P05067,APP,control,46,0.5434782608695652,0.7885714285714286,1.024038367903482,0.08695652173913043
alphamissense,P05093,CYP17A1,control,68,0.8823529411764706,0.9916666666666667,3.6378842117922283,0.07352941176470588
alphamissense,P05108,CYP11A1,mito,20,0.75,0.88,1.7248495345341741,0.2
alphamissense,P05165,PCCA,mito,50,0.84,0.8898809523809523,2.8378292527034907,0.06
alphamissense,P05166,PCCB,mito,75,0.96,0.9768518518518519,3.107378415772413,0.02666666666666667
alphamissense,P06858,LPL,control,78,0.8846153846153846,0.9855072463768116,4.113820146605943,0.0641025641025641
alphamissense,P07320,CRYGD,control,15,0.5333333333333333,0.5892857142857143,0.4520668708230403,0.13333333333333333
alphamissense,P07384,CAPN1,control,14,0.35714285714285715,0.9333333333333333,1.672884632302868,0.07142857142857142
alphamissense,P07602,PSAP,mito,28,0.6785714285714286,0.9473684210526316,2.6071220746143404,0.10714285714285714
alphamissense,P07954,FH,mito,167,0.9640718562874252,0.9979296066252589,7.117448796263606,0.023952095808383235
alphamissense,P08100,RHO,control,140,0.95,0.9140708915145006,2.0620437992826974,0.03571428571428571
alphamissense,P08243,ASNS,control,32,0.84375,0.9777777777777777,3.187082912360745,0.09375
alphamissense,P08514,ITGA2B,control,87,0.8850574712643678,0.9753246753246753,2.984828425454427,0.16091954022988506
alphamissense,P08559,PDHA1,mito,180,0.9222222222222223,0.9763339070567986,4.290089389888092,0.03333333333333333
alphamissense,P09622,DLD,mito,20,0.8,0.984375,3.4737603725179906,0.0
alphamissense,P10515,DLAT,mito,16,0.125,1.0,18.71032639488008,0.0
alphamissense,P10809,HSPD1,mito,10,0.8,0.9375,2.4136265706193556,0.1
alphamissense,P10827,THRA,control,12,0.75,1.0,4.953144688096308,0.0
alphamissense,P11171,EPB41,control,10,0.4,0.875,1.5738438882654058,0.0
alphamissense,P11177,PDHB,mito,13,0.7692307692307693,0.9,2.0244297927165156,0.07692307692307693
alphamissense,P11182,DBT,mito,36,0.7222222222222222,0.9538461538461539,2.6028920405726956,0.027777777777777776
alphamissense,P11310,ACADM,mito,141,0.9858156028368794,0.3345323741007194,-0.33861155319203523,0.2127659574468085
alphamissense,P11473,VDR,mito,20,0.9,1.0,13.214261032433976,0.0
alphamissense,P11498,PC,mito,46,0.43478260869565216,0.9980769230769231,6.062457368330946,0.043478260869565216
alphamissense,P11511,CYP19A1,control,19,0.631578947368421,1.0,3.5382409699533075,0.21052631578947367
alphamissense,P11586,MTHFD1,control,16,0.3125,1.0,9.697451342699555,0.0
alphamissense,P12235,SLC25A4,mito,15,0.8,1.0,12.966453170580058,0.0
alphamissense,P12694,BCKDHA,mito,56,0.8571428571428571,0.96875,2.9614428482642374,0.017857142857142856
alphamissense,P12814,ACTN1,control,22,0.8181818181818182,0.9444444444444444,3.0523505550091525,0.09090909090909091
alphamissense,P13473,LAMP2,control,26,0.2692307692307692,0.631578947368421,0.15959806387484257,0.07692307692307693
alphamissense,P13498,CYBA,control,16,0.75,1.0,5.739541909113542,0.0
alphamissense,P13804,ETFA,mito,11,0.7272727272727273,0.875,1.1237244349919573,0.0
alphamissense,P15382,KCNE1,control,10,0.7,1.0,2.577998749526122,0.2
alphamissense,P15538,CYP11B1,mito,65,0.8615384615384616,0.9781746031746031,2.456031368501641,0.23076923076923078
alphamissense,P16157,ANK1,control,21,0.3333333333333333,0.923469387755102,1.367931515296894,0.047619047619047616
alphamissense,P16219,ACADS,mito,36,0.8611111111111112,0.7290322580645161,0.9154112184759785,0.1388888888888889
alphamissense,P16278,GLB1,control,159,0.9056603773584906,0.9842592592592593,2.5430696127882304,0.13836477987421383
alphamissense,P16435,POR,mito,17,0.8823529411764706,1.0,9.591155261081992,0.0
alphamissense,P16615,ATP2A2,control,49,0.8367346938775511,0.9878048780487805,4.611622042900378,0.02040816326530612
alphamissense,P17302,GJA1,control,52,0.9807692307692307,1.0,6.287350880861716,0.038461538461538464
alphamissense,P18507,GABRG2,control,51,0.8431372549019608,1.0,8.906270357905703,0.0196078431372549
alphamissense,P19099,CYP11B2,mito,38,0.5,0.9889196675900277,3.9495447568538187,0.13157894736842105
alphamissense,P19438,TNFRSF1A,control,44,0.7045454545454546,0.9528535980148883,3.2817948300359285,0.022727272727272728
alphamissense,P19971,TYMP,mito,50,0.9,0.9199999999999999,2.212237650293864,0.12
alphamissense,P20062,TCN2,control,18,0.05555555555555555,0.8235294117647058,1.6696759787677273,0.05555555555555555
alphamissense,P20711,DDC,control,43,0.8372093023255814,0.9642857142857142,3.142466140151445,0.11627906976744186
alphamissense,P20916,MAG,control,13,0.3076923076923077,1.0,6.274918045524974,0.07692307692307693
alphamissense,P20933,AGA,control,29,0.6896551724137931,0.95,2.2565657741085117,0.034482758620689655
alphamissense,P21397,MAOA,mito,11,0.36363636363636365,0.8928571428571428,2.389206551248506,0.0
alphamissense,P21549,AGXT,mito,138,0.9130434782608695,0.9642857142857143,2.587963995702385,0.17391304347826086
alphamissense,P21583,KITLG,control,11,0.7272727272727273,0.9583333333333334,2.4329734305922335,0.2727272727272727
alphamissense,P21757,MSR1,control,14,0.35714285714285715,0.6000000000000001,0.950388162588247,0.07142857142857142
alphamissense,P21912,SDHB,mito,82,0.926829268292683,0.9890350877192983,6.353100013091658,0.0
alphamissense,P21953,BCKDHB,mito,70,0.9428571428571428,0.9810606060606061,3.397550746825728,0.05714285714285714
alphamissense,P22001,KCNA3,control,22,0.7272727272727273,0.8958333333333334,2.734881842862613,0.0
alphamissense,P22033,MMUT,mito,174,0.9597701149425287,0.9965782720273738,5.430507529446828,0.034482758620689655
alphamissense,P22413,ENPP1,control,33,0.8484848484848485,0.8857142857142857,1.7184275723122533,0.06060606060606061
alphamissense,P22557,ALAS2,mito,48,0.75,0.9328703703703703,2.0918131971879643,0.08333333333333333
alphamissense,P22570,FDXR,mito,25,0.44,0.9090909090909092,2.0847143702792246,0.12
alphamissense,P22830,FECH,mito,25,0.6,1.0,3.3436206508544135,0.04
alphamissense,P23378,GLDC,mito,167,0.8982035928143712,0.9780392156862746,3.6868593409611132,0.0658682634730539
alphamissense,P23526,AHCY,control,14,0.7142857142857143,0.925,1.9318025497176063,0.07142857142857142
alphamissense,P23786,CPT2,mito,40,0.75,0.8866666666666667,1.7606812411249906,0.125
alphamissense,P24468,NR2F2,control,12,0.8333333333333334,0.95,1.9541847158188033,0.0
alphamissense,P24752,ACAT1,mito,58,0.9482758620689655,0.9575757575757575,3.2139501270676725,0.13793103448275862
alphamissense,P25189,MPZ,control,91,0.989010989010989,1.0,6.425513879272436,0.06593406593406594
alphamissense,P25445,FAS,mito,43,0.8604651162790697,0.936936936936937,2.182926922051186,0.09302325581395349
alphamissense,P25705,ATP5F1A,mito,12,0.4166666666666667,0.8857142857142858,3.437533020952575,0.0
alphamissense,P26440,IVD,mito,11,0.9090909090909091,0.5,0.7686700782688751,0.09090909090909091
alphamissense,P28715,ERCC5,control,23,0.43478260869565216,1.0,4.435038778298277,0.043478260869565216
alphamissense,P30084,ECHS1,mito,47,0.8936170212765957,0.8238095238095238,1.1246179965753238,0.14893617021276595
alphamissense,P30279,CCND2,control,12,0.6666666666666666,1.0,17.846297364625766,0.0
alphamissense,P30301,MIP,mito,10,0.6,1.0,2.9318206151287813,0.0
alphamissense,P30793,GCH1,control,36,0.9722222222222222,1.0,4.895050151870242,0.027777777777777776
alphamissense,P31040,SDHA,mito,46,0.5,0.9300567107750474,1.953455195734542,0.0
alphamissense,P31321,PRKAR1B,control,10,0.5,0.7600000000000001,1.280317258192624,0.0
alphamissense,P31327,CPS1,mito,106,0.6132075471698113,0.9744840525328331,3.618333332784094,0.03773584905660377
alphamissense,P32322,PYCR1,mito,18,0.7777777777777778,0.9821428571428572,3.7032301373873184,0.1111111111111111
alphamissense,P33527,ABCC1,control,22,0.045454545454545456,0.8095238095238095,-0.17612359602808017,0.045454545454545456
alphamissense,P33897,ABCD1,mito,289,0.7612456747404844,0.9655138339920948,3.3657601921995224,0.031141868512110725
alphamissense,P34059,GALNS,control,119,0.9159663865546218,0.928440366972477,2.128638532502205,0.14285714285714285
alphamissense,P35218,CA5A,mito,11,0.18181818181818182,1.0,5.91508715922213,0.09090909090909091
alphamissense,P35523,CLCN1,control,131,0.8931297709923665,0.9700854700854701,2.7954691069953426,0.03816793893129771
alphamissense,P35680,HNF1B,control,85,0.9411764705882353,0.9400000000000001,2.143163160936055,0.047058823529411764
alphamissense,P35712,SOX6,control,25,0.36,0.8263888888888888,1.6383945381824248,0.12
alphamissense,P35914,HMGCL,mito,20,0.85,1.0,3.6464253874271453,0.0
alphamissense,P36551,CPOX,mito,19,0.47368421052631576,0.9777777777777779,3.2674519162413587,0.05263157894736842
alphamissense,P36776,LONP1,mito,106,0.08490566037735849,0.9438717067583047,2.483560430078545,0.03773584905660377
alphamissense,P38117,ETFB,mito,10,0.6,1.0,5.1762525879006995,0.1
alphamissense,P38571,LIPA,control,52,0.7884615384615384,0.9977827050997783,4.640907603313886,0.07692307692307693
alphamissense,P38606,ATP6V1A,control,26,0.9230769230769231,0.9791666666666667,3.815201203191651,0.038461538461538464
alphamissense,P39210,MPV17,mito,15,0.9333333333333333,0.9285714285714286,1.5120796430386108,0.13333333333333333
alphamissense,P40337,VHL,control,203,0.8275862068965517,0.9589285714285714,3.11864058759616,0.034482758620689655
alphamissense,P40926,MDH2,mito,10,0.4,1.0,13.070447318030729,0.0
alphamissense,P40939,HADHA,mito,30,0.7333333333333333,0.9545454545454546,3.3565318281803105,0.03333333333333333
alphamissense,P41250,GARS1,mito,44,0.6136363636363636,0.9673202614379084,2.761444923798953,0.022727272727272728
alphamissense,P42262,GRIA2,control,36,0.7777777777777778,0.9732142857142857,2.626487264898925,0.027777777777777776
alphamissense,P42704,LRPPRC,mito,39,0.23076923076923078,0.9777777777777779,3.237865976859221,0.07692307692307693
alphamissense,P42771,CDKN2A,control,52,0.7307692307692307,0.9830827067669172,4.242255181979918,0.0
alphamissense,P43003,SLC1A3,control,11,0.18181818181818182,0.8888888888888888,1.2874729989835776,0.09090909090909091
alphamissense,P43235,CTSK,control,28,0.8928571428571429,0.9466666666666667,2.7076635109569684,0.0
alphamissense,P43897,TSFM,mito,12,0.5,0.9166666666666667,2.178210015926707,0.08333333333333333
alphamissense,P45379,TNNT2,control,51,0.9411764705882353,0.8055555555555556,1.1017776751224433,0.0196078431372549
alphamissense,P45954,ACADSB,mito,13,0.6923076923076923,1.0,2.5668824464263857,0.15384615384615385
alphamissense,P48728,AMT,mito,40,0.875,0.942857142857143,2.5773873383393133,0.05
alphamissense,P48735,IDH2,mito,11,0.5454545454545454,0.9666666666666668,3.3846705268830592,0.0
alphamissense,P49335,POU3F4,control,33,0.8787878787878788,0.9396551724137931,2.8997317964123517,0.030303030303030304
alphamissense,P49419,ALDH7A1,mito,72,0.9027777777777778,0.9516483516483516,2.5870915425411223,0.06944444444444445
alphamissense,P49588,AARS1,control,40,0.425,0.9846547314578005,4.14258574308408,0.025
alphamissense,P49590,HARS2,mito,16,0.6875,0.890909090909091,1.8274888578509396,0.25
alphamissense,P49748,ACADVL,mito,157,0.9617834394904459,0.9977924944812362,2.9725236864088815,0.1337579617834395
alphamissense,P49773,HINT1,mito,12,0.9166666666666666,1.0,7.683097829118233,0.08333333333333333
alphamissense,P49821,NDUFV1,mito,26,0.8076923076923077,0.9714285714285714,2.950087315873854,0.07692307692307693
alphamissense,P49916,LIG3,mito,16,0.25,0.9375,2.829750349912941,0.0625
alphamissense,P50281,MMP14,control,12,0.16666666666666666,0.8,1.0096721326086906,0.08333333333333333
alphamissense,P50402,EMD,control,17,0.35294117647058826,0.803030303030303,1.0521053777232896,0.058823529411764705
alphamissense,P50416,CPT1A,mito,40,0.625,0.9973333333333333,4.918255533419641,0.0
alphamissense,P50440,GATM,mito,15,0.6,1.0,2.6355028514123586,0.13333333333333333
alphamissense,P51159,RAB27A,control,20,0.9,1.0,6.327069461564553,0.05
alphamissense,P51168,SCNN1B,control,27,0.5185185185185185,0.8846153846153846,1.6539646470285654,0.14814814814814814
alphamissense,P51530,DNA2,mito,19,0.21052631578947367,0.9333333333333333,2.443089877250766,0.05263157894736842
alphamissense,P51648,ALDH3A2,mito,43,0.813953488372093,0.9678571428571427,3.156774366434863,0.046511627906976744
alphamissense,P51649,ALDH5A1,mito,66,0.8333333333333334,0.9983471074380165,4.828746344667413,0.16666666666666666
alphamissense,P51659,HSD17B4,mito,57,0.7368421052631579,0.96984126984127,2.8169184996498204,0.08771929824561403
alphamissense,P51687,SUOX,mito,23,0.6086956521739131,0.9365079365079365,2.7631245824886523,0.08695652173913043
alphamissense,P51790,CLCN3,control,18,0.8333333333333334,0.9555555555555556,3.6933059133169976,0.05555555555555555
alphamissense,P51801,CLCNKB,control,48,0.4791666666666667,0.9930434782608696,3.3758578224094866,0.041666666666666664
alphamissense,P51812,RPS6KA3,control,52,0.7884615384615384,1.0,6.9967702259948865,0.019230769230769232
alphamissense,P52429,DGKE,control,14,0.7857142857142857,0.9696969696969697,4.286372597142961,0.0
alphamissense,P52848,NDST1,control,10,0.4,0.875,3.1133761686117865,0.0
alphamissense,P52952,NKX2-5,control,39,0.717948717948718,0.9415584415584416,3.23304210630117,0.02564102564102564
alphamissense,P53597,SUCLG1,mito,12,0.75,1.0,3.719869197771304,0.0
alphamissense,P53674,CRYBB1,control,13,0.5384615384615384,0.9523809523809524,2.27388501056598,0.0
alphamissense,P53701,HCCS,mito,19,0.21052631578947367,1.0,3.7978551436346484,0.05263157894736842
alphamissense,P54098,POLG,mito,135,0.8666666666666667,0.9924026590693258,4.204607153727661,0.044444444444444446
alphamissense,P54819,AK2,mito,15,0.5333333333333333,0.8928571428571428,1.8867538146748757,0.0
alphamissense,P54840,GYS2,control,26,0.3076923076923077,0.9375,2.965208641941852,0.0
alphamissense,P54868,HMGCS2,mito,21,0.9523809523809523,0.95,3.934106119006481,0.09523809523809523
alphamissense,P54886,ALDH18A1,mito,33,0.7575757575757576,0.96,2.9423205389280973,0.15151515151515152
alphamissense,P55084,HADHB,mito,26,0.9230769230769231,0.9791666666666667,4.2567406894147855,0.07692307692307693
alphamissense,P55201,BRPF1,control,27,0.25925925925925924,1.0,5.193230399638404,0.1111111111111111
alphamissense,P55809,OXCT1,mito,12,0.6666666666666666,1.0,2.266920981474255,0.0
alphamissense,P56696,KCNQ4,control,43,0.7209302325581395,0.9946236559139785,3.8667039412270037,0.0
alphamissense,P58012,FOXL2,control,39,0.9230769230769231,0.9629629629629629,3.2790687889824914,0.07692307692307693
alphamissense,P60484,PTEN,control,255,0.9725490196078431,0.9965437788018433,6.99548497956499,0.00784313725490196
alphamissense,P61626,LYZ,control,13,0.23076923076923078,1.0,7.985420756228758,0.07692307692307693
alphamissense,P61981,YWHAG,control,16,0.8125,1.0,61.93223246338626,0.0
alphamissense,P62070,RRAS2,control,10,0.8,1.0,86.86386595649728,0.0
alphamissense,P62879,GNB2,control,15,0.8,1.0,12.442385607822725,0.0
alphamissense,P63267,ACTG2,control,40,0.975,0.5641025641025641,-0.37236472164968215,0.0
alphamissense,P67775,PPP2CA,control,23,0.7391304347826086,0.9607843137254902,2.4066673819076243,0.043478260869565216
alphamissense,P78562,PHEX,control,171,0.8245614035087719,0.9684397163120567,3.3791976412228113,0.023391812865497075
alphamissense,P80365,HSD11B2,control,17,0.5882352941176471,1.0,2.2602704748204783,0.11764705882352941
alphamissense,P80404,ABAT,mito,13,0.7692307692307693,1.0,4.361783483419066,0.0
alphamissense,P82930,MRPS34,mito,10,0.2,1.0,3.4849674176012466,0.0
alphamissense,Q00577,PURA,control,86,0.686046511627907,0.9500941619585688,2.419919563335288,0.011627906976744186
alphamissense,Q01453,PMP22,mito,36,0.9166666666666666,1.0,9.431828180202004,0.0
alphamissense,Q01718,MC2R,control,25,0.76,0.9561403508771931,2.355404930310592,0.12
alphamissense,Q01959,SLC6A3,control,12,0.4166666666666667,1.0,8.564862916626778,0.08333333333333333
alphamissense,Q02094,RHAG,control,12,0.75,1.0,3.8511326081018264,0.0
alphamissense,Q02127,DHODH,mito,15,0.4666666666666667,0.9821428571428571,1.3803228909231209,0.0
alphamissense,Q02252,ALDH6A1,mito,10,0.6,1.0,2.9062920645215047,0.0
alphamissense,Q02318,CYP27A1,mito,39,0.7692307692307693,0.9555555555555555,2.7926404547760386,0.15384615384615385
alphamissense,Q02750,MAP2K1,control,49,0.9183673469387755,0.6916666666666667,1.1892937667877792,0.0
alphamissense,Q03112,MECOM,control,15,0.13333333333333333,1.0,4.283171879619732,0.0
alphamissense,Q04844,CHRNE,control,50,0.86,0.9202657807308969,1.8608789025109407,0.16
alphamissense,Q06945,SOX4,control,19,0.6842105263157895,1.0,11.940349006929866,0.0
alphamissense,Q07021,C1QBP,mito,11,0.36363636363636365,1.0,10.940516168677037,0.0
alphamissense,Q07837,SLC3A1,control,45,0.9333333333333333,0.9682539682539683,2.4451941491588816,0.15555555555555556
alphamissense,Q07973,CYP24A1,mito,23,0.5217391304347826,0.9772727272727272,3.217705239583945,0.08695652173913043
alphamissense,Q08209,PPP3CA,control,26,0.8076923076923077,0.9619047619047619,3.426163216619197,0.038461538461538464
alphamissense,Q08J23,NSUN2,mito,15,0.3333333333333333,0.9,2.9317538831547725,0.06666666666666667
alphamissense,Q10713,PMPCA,mito,12,0.5833333333333334,0.8857142857142857,2.0187698303766086,0.0
alphamissense,Q12887,COX10,mito,14,0.5,1.0,5.572395841041618,0.07142857142857142
alphamissense,Q12946,FOXF1,control,36,0.6944444444444444,0.9854545454545454,6.625598979235587,0.0
alphamissense,Q12980,NPRL3,control,12,0.08333333333333333,1.0,20.058896506758987,0.0
alphamissense,Q13153,PAK1,control,30,0.8333333333333334,0.888,2.253805148056935,0.03333333333333333
alphamissense,Q13207,TBX2,control,13,0.3076923076923077,0.638888888888889,0.5636737467741509,0.0
alphamissense,Q13253,NOG,control,30,0.8333333333333334,1.0,6.413650933584631,0.06666666666666667
alphamissense,Q13286,CLN3,control,27,0.8518518518518519,0.9347826086956521,2.9061414004031065,0.1111111111111111
alphamissense,Q13415,ORC1,mito,23,0.2608695652173913,0.892156862745098,1.1478267909883164,0.0
alphamissense,Q13423,NNT,mito,23,0.391304347826087,1.0,11.882019214372416,0.0
alphamissense,Q13426,XRCC4,control,11,0.2727272727272727,0.75,1.0110761491956415,0.0
alphamissense,Q13461,FOXE3,control,23,0.4782608695652174,0.9924242424242424,3.9092250600319494,0.08695652173913043
alphamissense,Q13472,TOP3A,mito,14,0.21428571428571427,0.6969696969696969,0.9843840219397911,0.07142857142857142
alphamissense,Q13501,SQSTM1,control,13,0.38461538461538464,0.875,1.7805555596302454,0.07692307692307693
alphamissense,Q13509,TUBB3,control,65,0.8461538461538461,0.7090909090909091,0.6228416010062388,0.046153846153846156
alphamissense,Q13627,DYRK1A,control,18,0.16666666666666666,0.9333333333333333,1.3857366622108018,0.05555555555555555
alphamissense,Q13825,AUH,mito,10,0.7,1.0,13.968265979143357,0.0
alphamissense,Q13885,TUBB2A,control,44,0.7727272727272727,0.8352941176470589,1.323833582588881,0.0
alphamissense,Q14203,DCTN1,control,43,0.20930232558139536,0.9673202614379085,3.5476680652248205,0.046511627906976744
alphamissense,Q14671,PUM1,control,13,0.23076923076923078,1.0,6.233542075271671,0.0
alphamissense,Q15031,LARS2,mito,31,0.7096774193548387,0.9343434343434343,1.6767810201124946,0.0967741935483871
alphamissense,Q15046,KARS1,mito,25,0.68,0.9926470588235294,4.112817520978799,0.08
alphamissense,Q15147,PLCB4,control,17,0.5294117647058824,1.0,5.356664238185252,0.0
alphamissense,Q15437,SEC23B,control,23,0.6521739130434783,0.8583333333333334,1.6047705339549498,0.13043478260869565
alphamissense,Q15526,SURF1,mito,30,0.9333333333333333,0.9642857142857143,2.9517907114377087,0.03333333333333333
alphamissense,Q15751,HERC1,control,39,0.05128205128205128,1.0,10.245487414331981,0.02564102564102564
alphamissense,Q16134,ETFDH,mito,103,0.9514563106796117,0.9959183673469388,3.016280929181247,0.13592233009708737
alphamissense,Q16281,CNGA3,control,137,0.8905109489051095,0.9983606557377049,3.260578281709934,0.145985401459854
alphamissense,Q16595,FXN,mito,11,0.5454545454545454,1.0,7.956267305783347,0.0
