DMS_id,uniprot_acc,n_subs,AlphaMissense_cov,VARITY_R_LOO_cov,gMVP_cov,n_common,frac_common,AlphaMissense_rho,VARITY_R_LOO_rho,gMVP_rho
CP2C9_HUMAN_Amorosi_2021_activity,P11712,6142,1.0,0.4190530195633683,0.4190530195633683,2956,0.4190530195633683,0.5427760825454956,0.6183152451869922,0.4665388801684063
ERBB2_HUMAN_Elazar_2016,P04626,326,1.0,0.3691860465116279,0.3691860465116279,127,0.3691860465116279,0.3367363531321111,-0.16129920660033517,0.2927492411724033
GDIA_HUMAN_Silverstein_2021,P31150,1154,1.0,0.9994282447112636,0.9994282447112636,1748,0.9994282447112636,0.3322393873568653,0.31482378798289185,0.28045908367781763
GRB2_HUMAN_Faure_2021,P62993,1034,1.0,0.39152542372881355,0.39152542372881355,462,0.39152542372881355,0.494214732353615,0.6241361338457379,0.5206583971701055
HEM3_HUMAN_Loggerenberg_2023,P08397,5689,1.0,0.39937353171495693,0.39937353171495693,2550,0.39937353171495693,0.3261618569169689,0.38147196855258636,0.4073582054748819
HMDH_HUMAN_Jiang_2019,P04035,16853,1.0,0.38391157182145125,0.38391157182145125,7259,0.38391157182145125,0.2952434573586337,0.4589410749049454,0.3947739017247465
HXK4_HUMAN_Gersing_2022_activity,P35557,8570,1.0,0.33161319273053624,0.023894996634507518,184,0.02064168723356518,0.4641997404893942,0.41430789741684215,0.29874926308245386
HXK4_HUMAN_Gersing_2023_abundance,P35557,8396,1.0,0.33695279460509775,0.024802834609669675,187,0.021373871299577095,0.10650510730811587,0.12606197199727404,0.1116953622693661
MK01_HUMAN_Brenan_2016,P28482,6809,1.0,0.38393329804129167,0.38393329804129167,2901,0.38393329804129167,0.182375355412537,0.09936738523405993,0.07023247531662039
MSH2_HUMAN_Jia_2020,P43246,16749,1.0,0.3891889030072003,0.3891889030072003,7351,0.3891889030072003,0.28396016981224514,0.2870765478437878,0.2690846713822209
MTHR_HUMAN_Weile_2021,P42898,12464,1.0,0.33716622935638213,0.01774965272418583,195,0.01504861861398364,0.4323460633450418,0.5869158651564211,0.22532605110393378
NPC1_HUMAN_Erwood_2022_HEK293T,O15118,637,1.0,0.9930555555555556,0.9930555555555556,858,0.9930555555555556,0.7390465903986126,0.6891748162521638,0.6361954902227083
NUD15_HUMAN_Suiter_2020,Q9NV35,2844,1.0,0.380997177798683,0.380997177798683,1215,0.380997177798683,0.6555498317015562,0.6327058562196994,0.6142345834458026
OPSD_HUMAN_Wan_2019,P08100,165,1.0,0.9877049180327869,0.9877049180327869,241,0.9877049180327869,0.48301719384631797,0.5659014134096996,0.5395476277254894
OTC_HUMAN_Lo_2023,P00480,1570,1.0,1.0,1.0,2179,1.0,0.4623687990877941,0.5035735638801617,0.5441017442864546
P53_HUMAN_Kotler_2018,P04637,1048,1.0,0.9480968858131488,0.9480968858131488,1370,0.9480968858131488,0.6723227403573216,0.6387946621196491,0.6922040342971058
PAI1_HUMAN_Huttinger_2021,P05121,5345,1.0,0.5059552167698904,0.5059552167698904,3186,0.5059552167698904,0.6172200535669465,0.6463915202002558,0.5622857014417237
PPARG_HUMAN_Majithia_2016,P37231,9576,1.0,0.3913527556132863,0.3913527556132863,4218,0.3913527556132863,0.670153359624937,0.7715484125848254,0.6187064742720091
PPM1D_HUMAN_Miller_2022,O15297,7889,1.0,0.38200589970501475,0.38200589970501475,3367,0.38200589970501475,0.6161438238582312,0.5713201567327036,0.5381068863214191
PRKN_HUMAN_Clausen_2023,O60260,8756,1.0,0.38813525005061755,0.38813525005061755,3834,0.38813525005061755,0.608156723178386,0.641995303454483,0.5172420110715191
PTEN_HUMAN_Matreyek_2021,P60484,5083,1.0,0.41233041387600894,0.41233041387600894,2401,0.41233041387600894,0.41586057493143413,0.4219357760231832,0.3782993932569462
PTEN_HUMAN_Mighell_2018,P60484,7260,1.0,0.40195133702722236,0.40195133702722236,3337,0.40195133702722236,0.4012945169383439,0.386584005095343,0.3436711402498616
RAF1_HUMAN_Zinkus-Boltz_2019,P04049,297,1.0,0.7525,0.7525,301,0.7525,0.3888174853280418,0.3645589193047647,0.32673413415072566
RASH_HUMAN_Bandaru_2017,P01112,3134,1.0,0.38062482086557753,0.38062482086557753,1328,0.38062482086557753,0.35596410872037126,0.3179191415462924,0.33353374451904433
SC6A4_HUMAN_Young_2021,P31645,11576,1.0,0.3834749034749035,0.3834749034749035,4966,0.3834749034749035,0.37325857590228195,0.40896457729452135,0.371795809699149
SERC_HUMAN_Xie_2023,Q9Y617,1914,1.0,1.0,1.0,2634,1.0,0.5287733852886937,0.5300448760273679,0.5137995578370238
SHOC2_HUMAN_Kwon_2022,Q9UQ13,10972,1.0,0.38172787232310074,0.38172787232310074,4688,0.38172787232310074,0.4401287027858044,0.33698290042364387,0.3568105184692954
SRC_HUMAN_Ahler_2019,P12931,3372,1.0,0.3987391646966115,0.3987391646966115,1518,0.3987391646966115,0.5329797784760614,0.44340312435717333,0.41133025733971157
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,P12931,3637,1.0,0.39241126070991433,0.39241126070991433,1603,0.39241126070991433,0.4988754133598182,0.3832791167938257,0.3625870475366522
SRC_HUMAN_Nguyen_2022,P12931,3366,1.0,0.39884240989213365,0.39884240989213365,1516,0.39884240989213365,0.48684250768585036,0.3584285025540914,0.3201230124267831
SUMO1_HUMAN_Weile_2017,P63165,1700,1.0,0.41382868937048506,0.41382868937048506,802,0.41382868937048506,0.5415996499985269,0.4929550712284834,0.5037178594400414
TADBP_HUMAN_Bolognesi_2019,Q13148,1196,1.0,0.5259562841530054,0.5259562841530054,770,0.5259562841530054,-0.23654657706009763,-0.13495859214609465,-0.1108639441633489
TPK1_HUMAN_Weile_2017,Q9H3S4,3181,1.0,0.4741542625169147,0.4741542625169147,1752,0.4741542625169147,0.08982965492188744,0.13196310795182573,0.13207239381663005
TPMT_HUMAN_Matreyek_2018,P51580,3648,1.0,0.39037950205462896,0.39037950205462896,1615,0.39037950205462896,0.5576802151102146,0.3185130217576816,0.5253275692806834
VKOR1_HUMAN_Chiasson_2020_abundance,Q9BQB6,2695,1.0,0.3957643944407677,0.3957643944407677,1196,0.3957643944407677,0.4814196209720421,0.47586166000260127,0.4528949348889276
VKOR1_HUMAN_Chiasson_2020_activity,Q9BQB6,697,1.0,0.45376078914919854,0.45376078914919854,368,0.45376078914919854,0.33347365541279794,0.38873815126006883,0.4400600959600259
YAP1_HUMAN_Araya_2012,P46937,362,1.0,0.5301204819277109,0.5301204819277109,220,0.5301204819277109,0.6630772763203885,0.697453729795532,0.6601940981537006
